Character	Frequency	Key
D			105			s
L			63			E
P			45			O
N			42			N
1			40			T
K			38			I
(			35			A
.			30			R
:			27			S
J			23			L
,			20			U
8			20			Y
R			17			G
I			16			D
Y			16			H
T			14			P
O			13			M
 			13			C
?			9			F

			8			V
3			8			W
X			7			!
Q			6			B
2			5			,
G			4			K
-			4			
$			3
S			2			-
M			1			X
!			1			J
